show_id,title,director,rating,type,date_added,release_year,description
s6169,The Boys in the Band,Joe Mantello,R,Movie,2020-09-30,2020,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths."
s6171,The Brave,William Kaufman,TV-MA,Movie,2020-01-15,2019,"With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy."
s6172,The Brave One,Neil Jordan,R,Movie,2019-11-01,2007,New York City radio host Erica Bain decides to take the law into her own hands after losing her fiancé in a brutal Central Park attack.
s6173,The Brawler,Ken Kushner,TV-MA,Movie,2019-05-18,2019,"Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity."
s6174,The Breadwinner,Nora Twomey,PG-13,Movie,2018-02-20,2017,A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.
s6177,The Break-Up,Peyton Reed,PG-13,Movie,2019-07-16,2006,Cohabitating couple Gary and Brooke's petty spats turn into an all-out battle for their home condo.
s6178,The Breaker Upperers,"Jackie van Beek, Madeleine Sami",TV-MA,Movie,2019-02-15,2018,"For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel."
s6179,The Breakup Playlist,Dan Villegas,TV-MA,Movie,2019-02-27,2015,A rock musician and a law student whose true passion is music fall in love and pursue a romance that complicates both of their blossoming careers.
s6181,The Bridge,Kunle Afolayan,TV-14,Movie,2019-09-01,2017,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.
s6182,The Bridge Curse,Lester Hsi,TV-MA,Movie,2020-08-27,2020,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge.
s6183,The Bros,You-Jeong Chang,TV-14,Movie,2018-02-02,2017,"Reunited in their hometown for their father''s funeral, two self-interested brothers meet a peculiar woman who shares a huge secret about their family."
s6184,The Brothers Grimm,Terry Gilliam,PG-13,Movie,2019-07-01,2005,"Brothers Jake and Will Grimm travel from village to village, posing as exterminators of magical creatures. But in reality, they''re expert con artists."
s6185,The Bucket List,Rob Reiner,PG-13,Movie,2019-10-01,2007,Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.
s6188,The Burial of Kojo,Sam Blitz Bazawule,TV-14,Movie,2019-03-31,2018,"When a man is left to die inside an illegal gold mine, his daughter travels through a magical landscape to save him."
s6190,The Butterfly's Dream,Yılmaz Erdoğan,TV-PG,Movie,2017-03-10,2013,"Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman."
s6191,The Bye Bye Man,Stacy Title,PG-13,Movie,2019-04-01,2017,Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man.
s6192,The Bygone,"Graham Phillips, Parker Phillips",TV-MA,Movie,2020-03-23,2019,"His way of life under threat due to the oil fracking boom, a young rancher defends a Lakota woman and becomes entangled in human trafficking."
s6193,The C Word,Meghan O'Hara,TV-14,Movie,2017-03-24,2016,"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease."
s6195,The Cakemaker,Ofir Raul Graizer,TV-14,Movie,2018-12-04,2017,"When a German baker travels to Jerusalem in search of his dead male lover’s family, his growing involvement with them may expose his truth."
s6196,The Call,Lee Chung-hyun,TV-MA,Movie,2020-11-27,2020,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
s6198,The Captive,Atom Egoyan,R,Movie,2018-07-20,2014,"Eight years after their daughter''s abduction tore them apart, her parents receive enigmatic clues from the kidnapper hinting that she''s still alive."
s6199,The Car,Elliot Silverstein,PG,Movie,2020-06-01,1977,"In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan."
s6200,The Car: Road to Revenge,G.J. Echternkamp,TV-MA,Movie,2020-02-01,2019,"Trying to uphold justice in a lawless future, a D.A. is slain by cyberpunks but a supernatural twist sends his car on a bloody quest for revenge."
