id,actor
824,Somkele Iyamah
825,Danny Glover
826,Gideon Okeke
827,Seun Kentebe
828,Keppy Ekpenyong
829,Zara Udofia Ejoh
830,Patrick Diabuah
831,Tina Mba
832,Alastair Mackenzie
833,Tim Reid
834,Nina Pearce
835,Adam Tuominen
836,Emily Morris
837,Amy Handley
838,Carmel Johnson
839,Alanah Gilbert
840,Hapi Murphy
841,Lilly Blacker
842,Julie Kay Lumasag
843,Elysia Markou
844,Tamara Smart
845,Oona Laurence
846,Tom Felton
847,Troy Leigh-Anne Johnson
848,Lynn Masako Cheng
849,Ty Consiglio
850,Ian Ho
851,Indya Moore
852,Alessio Scalzotto
853,Tamsen McDonough
854,Mila Kunis
855,Kristen Bell
856,Kathryn Hahn
857,Christine Baranski
858,Jay Hernandez
859,Cheryl Hines
860,Peter Gallagher
861,Justin Hartley
862,Qi Shu
863,Liu Ye
864,Anthony Wong Chau-Sang
865,Liang Tian
866,Danying Feng
867,Rina Sa
868,Zhang Songwen
869,Tian Gao
870,Andrew Lin
871,Dhruva Padmakumar
872,Gaurav Sharma
873,Vasuki
874,Christopher Gorham
875,Julian Feder
876,Kaitlin Doubleday
877,Andrew Bowen
878,Caitlin Carmichael
879,Sean Gunn
880,Bryan Batt
881,Fay Masterson
882,Brian George
883,Dirk Bogarde
884,James Caan
885,Michael Caine
886,Sean Connery
887,Edward Fox
888,Elliott Gould
889,Gene Hackman
890,Anthony Hopkins
891,Hardy Krüger
892,Laurence Olivier
893,Ryan O'Neal
894,Robert Redford
895,Maximilian Schell
896,Liv Ullmann
897,Lauren Swickard
898,Josh Swickard
899,Ali Afshar
900,David Del Rio
901,Natalia Mann
902,Katelyn Epperly
903,Gunnar Anderson
904,Julie Lancaster
905,Amanda Detmer
906,Mandy Grace
907,David de Vos
908,Donna Rusch
909,Devan Key
910,Isabella Mancuso
911,Ariana Guido
912,Emre Karayel
913,Ceren Moray
914,Begüm Kütük
915,Ececan Gümeci
916,Ümit Erdim
917,Cem Kiliç
918,Haldun Boysan
919,Ferdi Akarnur
920,Mine Teber
921,Güneş Hayat
922,Kai Ko
923,Ariel Lin
924,Darren Wang
925,Zhang Xiaolong
926,Louis Koo
927,Vanness Wu
928,Rose McIver
929,Ben Lamb
930,Alice Krige
931,Honor Kneafsey
932,Sarah Douglas
933,Andy Lucas
934,Raj Bajaj
935,Richard Ashton
936,Tahirah Sharif
937,Joel McVeagh
938,Theo Devaney
939,Kevin Shen
940,Momo Yeung
941,Crystal Yu
942,Billy Angel
943,Simon Dutton
944,John Guerrasio
945,Cristina Vee
946,Bryce Papenbrook
947,Keith Silverstein
948,Mela Lee
949,Max Mittelman
950,Carrie Keranen
951,Stephanie Sheh
952,Selah Victor
953,Ben Diskin
954,Erin Fitzgerald
955,Grant George
956,Hilary Duff
957,Chad Michael Murray
958,Jennifer Coolidge
959,Dan Byrd
960,Regina King
961,Julie Gonzalo
962,Lin Shaye
963,Madeline Zima
964,Andrea Avery
965,Mary Pat Gleason
966,Paul Rodriguez
967,Whip Hubley
968,Kevin Kilner
969,Erica Hubbard
970,Simon Helberg
971,Laura Marano
972,Gregg Sulkin
973,Isabella Gomez
974,Johannah Newmarch
975,Lillian Doucet-Roche
976,Chanelle Peloso
977,Barclay Hope
978,Garfield Wilson
979,Malcolm McDowell
980,Patrick Magee
981,Michael Bates
982,Warren Clarke
983,Adrienne Corri
984,Paul Farrell
985,Miriam Karlin
986,James Marcus
987,Debra Winger
988,Barbara Hershey
989,Gabriel Byrne
990,Laurie Metcalf
991,John Terry
992,Maggie Gyllenhaal
993,Jake Gyllenhaal
994,Chloe Webb
995,David Strathairn
